"Site","Wetland_Type","Transect","ANPP.g.m.2.y.1"
"CRMS4045","Estuarine Herbaceous",5,NA
"CRMS4245","Estuarine Herbaceous",1,79.81564019
"CRMS4245","Estuarine Herbaceous",2,81.08225691
"CRMS4245","Estuarine Herbaceous",3,68.00840309
"CRMS4245","Estuarine Herbaceous",4,NA
"CRMS4245","Estuarine Herbaceous",5,NA
"CRMS4455","Estuarine Herbaceous",1,74.34947157
"CRMS4455","Estuarine Herbaceous",2,71.12264603
"CRMS4455","Estuarine Herbaceous",3,80.15078839
"CRMS4455","Estuarine Herbaceous",4,NA
"CRMS4455","Estuarine Herbaceous",5,NA
