Site.ID,Transect,Event,Year,Month,Core.Area.m2,Depth,Live.Roots.g,Dead.Roots.g,Dead.Macro.Organic.g,Live.Change.g,Dead.Change.g,Interval.Production.g,Sum.Intervals.g,Total NAPP.g.m-2.y-1
BA-01-04,4,T1,2012,06,0.00785,A 0-7.5,3.31,13.55,6.67,9.39,-9.38,9.39,24.9,1585.99
BA-01-04,4,T2,2012,10,0.00785,A 0-7.5,12.7,4.17,4.49,-7.77,0.37,0,NA,NA
BA-01-04,4,T3,2013,02,0.00785,A 0-7.5,4.93,4.54,2.94,-2.87,-2.59,0,NA,NA
BA-01-04,4,T4,2013,05,0.00785,A 0-7.5,2.06,1.95,11.03,10.14,4.04,14.18,NA,NA
BA-01-04,4,T5,2013,07,0.00785,A 0-7.5,12.2,5.99,5.17,-10.59,2.29,0,NA,NA
BA-01-04,4,T6,2013,10,0.00785,A 0-7.5,1.61,8.28,7.49,-1.57,-4.91,0,NA,NA
BA-01-04,4,T7,2014,02,0.00785,A 0-7.5,0.04,3.37,2.77,-0.01,1.34,1.33,NA,NA
BA-01-04,4,T8,2014,05,0.00785,A 0-7.5,0.03,4.71,4.98,-0.01,-2.88,0,NA,NA
BA-01-04,4,T9,2014,07,0.00785,A 0-7.5,0.02,1.83,6.68,NA,NA,NA,NA,NA
BA-01-04,5,T1,2012,06,0.00785,A 0-7.5,2.4,4.21,3.3,-2.1,3.69,1.59,16.86,1073.89
BA-01-04,5,T2,2012,10,0.00785,A 0-7.5,0.3,7.9,7.18,-0.09,-3.09,0,NA,NA
BA-01-04,5,T3,2013,02,0.00785,A 0-7.5,0.21,4.81,2.34,12.12,1.01,13.13,NA,NA
BA-01-04,5,T4,2013,05,0.00785,A 0-7.5,12.33,5.82,4.72,-5.98,-1.87,0,NA,NA
BA-01-04,5,T5,2013,07,0.00785,A 0-7.5,6.35,3.95,3.3,-1.78,1.66,0,NA,NA
BA-01-04,5,T6,2013,10,0.00785,A 0-7.5,4.57,5.61,7.55,-4.56,0.49,0,NA,NA
BA-01-04,5,T7,2014,02,0.00785,A 0-7.5,0.01,6.1,3.22,1.01,1.13,2.14,NA,NA
BA-01-04,5,T8,2014,05,0.00785,A 0-7.5,1.02,7.23,7.08,-0.99,0.48,0,NA,NA
BA-01-04,5,T9,2014,07,0.00785,A 0-7.5,0.03,7.71,4.52,NA,NA,NA,NA,NA
BA-01-04,1,T1,2012,06,0.00785,B 7.5-15,0.19,11.51,6.84,0.15,-2.89,0.15,23.5,1496.82
BA-01-04,1,T2,2012,10,0.00785,B 7.5-15,0.34,8.62,12.96,2.02,-3.39,2.02,NA,NA
BA-01-04,1,T3,2013,02,0.00785,B 7.5-15,2.36,5.23,6.66,1.06,9.4,10.46,NA,NA
BA-01-04,1,T4,2013,05,0.00785,B 7.5-15,3.42,14.63,6.94,-3.4,-10.5,0,NA,NA
BA-01-04,1,T5,2013,07,0.00785,B 7.5-15,0.02,4.13,11.5,0.07,5.76,5.83,NA,NA
BA-01-04,1,T6,2013,10,0.00785,B 7.5-15,0.09,9.89,6.82,-0.08,5.06,4.98,NA,NA
BA-01-04,1,T7,2014,02,0.00785,B 7.5-15,0.01,14.95,5.16,0.06,-7.18,0.06,NA,NA
BA-01-04,1,T8,2014,05,0.00785,B 7.5-15,0.07,7.77,6.09,-0.02,-3.53,0,NA,NA
BA-01-04,1,T9,2014,07,0.00785,B 7.5-15,0.05,4.24,9.47,NA,NA,NA,NA,NA
BA-01-04,2,T1,2012,06,0.00785,B 7.5-15,0.11,11.05,6.46,7.32,-6.29,7.32,26.2,1668.79
BA-01-04,2,T2,2012,10,0.00785,B 7.5-15,7.43,4.76,12.51,-6.95,-1.54,0,NA,NA
BA-01-04,2,T3,2013,02,0.00785,B 7.5-15,0.48,3.22,5.26,-0.4,8.19,7.79,NA,NA
BA-01-04,2,T4,2013,05,0.00785,B 7.5-15,0.08,11.41,4.99,-0.05,-3.29,0,NA,NA
BA-01-04,2,T5,2013,07,0.00785,B 7.5-15,0.03,8.12,12.44,0.11,7.48,7.59,NA,NA
BA-01-04,2,T6,2013,10,0.00785,B 7.5-15,0.14,15.6,5.95,0.04,3.46,3.5,NA,NA
BA-01-04,2,T7,2014,02,0.00785,B 7.5-15,0.18,19.06,8.26,0,-7.99,0,NA,NA
BA-01-04,2,T8,2014,05,0.00785,B 7.5-15,0.18,11.07,5.5,-0.16,-9.51,0,NA,NA
BA-01-04,2,T9,2014,07,0.00785,B 7.5-15,0.02,1.56,10.6,NA,NA,NA,NA,NA
BA-01-04,3,T1,2012,06,0.00785,B 7.5-15,1.46,9.66,7.51,-0.97,-4.79,0,8.89,566.24
BA-01-04,3,T2,2012,10,0.00785,B 7.5-15,0.49,4.87,15.19,-0.04,3.69,3.65,NA,NA
BA-01-04,3,T3,2013,02,0.00785,B 7.5-15,0.45,8.56,4.13,-0.43,-0.82,0,NA,NA
BA-01-04,3,T4,2013,05,0.00785,B 7.5-15,0.02,7.74,6.06,0.09,-2.92,0.09,NA,NA
BA-01-04,3,T5,2013,07,0.00785,B 7.5-15,0.11,4.82,6.55,-0.09,5.07,4.98,NA,NA
BA-01-04,3,T6,2013,10,0.00785,B 7.5-15,0.02,9.89,9.13,-0.02,0.14,0.12,NA,NA
BA-01-04,3,T7,2014,02,0.00785,B 7.5-15,0,10.03,8.75,0.05,-2.97,0.05,NA,NA
BA-01-04,3,T8,2014,05,0.00785,B 7.5-15,0.05,7.06,8.47,NA,NA,NA,NA,NA
BA-01-04,3,T9,2014,07,0.00785,B 7.5-15,NA,NA,NA,NA,NA,NA,NA,NA
BA-01-04,4,T1,2012,06,0.00785,B 7.5-15,0.12,13.55,3.42,1.02,-9.17,1.02,17.23,1097.45
BA-01-04,4,T2,2012,10,0.00785,B 7.5-15,1.14,4.38,9.66,-0.51,2.59,2.08,NA,NA
BA-01-04,4,T3,2013,02,0.00785,B 7.5-15,0.63,6.97,7.04,-0.58,-0.95,0,NA,NA
BA-01-04,4,T4,2013,05,0.00785,B 7.5-15,0.05,6.02,6.82,0.39,0.94,1.33,NA,NA
BA-01-04,4,T5,2013,07,0.00785,B 7.5-15,0.44,6.96,10.02,-0.26,9.64,9.38,NA,NA
BA-01-04,4,T6,2013,10,0.00785,B 7.5-15,0.18,16.6,3.94,-0.18,3.56,3.38,NA,NA
BA-01-04,4,T7,2014,02,0.00785,B 7.5-15,0,20.16,4.86,0.04,-10.64,0.04,NA,NA
BA-01-04,4,T8,2014,05,0.00785,B 7.5-15,0.04,9.52,3.75,-0.01,-6.48,0,NA,NA
BA-01-04,4,T9,2014,07,0.00785,B 7.5-15,0.03,3.04,9.77,NA,NA,NA,NA,NA
BA-01-04,5,T1,2012,06,0.00785,B 7.5-15,1.52,8.65,6.85,-0.74,-2.22,0,36.05,2296.18
BA-01-04,5,T2,2012,10,0.00785,B 7.5-15,0.78,6.43,5.3,1.46,-4.46,1.46,NA,NA
BA-01-04,5,T3,2013,02,0.00785,B 7.5-15,2.24,1.97,3.75,-0.85,12.65,11.8,NA,NA
BA-01-04,5,T4,2013,05,0.00785,B 7.5-15,1.39,14.62,6.41,-1.19,-9.86,0,NA,NA
BA-01-04,5,T5,2013,07,0.00785,B 7.5-15,0.2,4.76,6.47,0.03,22.74,22.77,NA,NA
BA-01-04,5,T6,2013,10,0.00785,B 7.5-15,0.23,27.5,6.44,-0.22,-10.34,0,NA,NA
BA-01-04,5,T7,2014,02,0.00785,B 7.5-15,0.01,17.16,6.86,0.02,-2.3,0.02,NA,NA
BA-01-04,5,T8,2014,05,0.00785,B 7.5-15,0.03,14.86,6.29,0,-9.12,0,NA,NA
BA-01-04,5,T9,2014,07,0.00785,B 7.5-15,0.03,5.74,5.77,NA,NA,NA,NA,NA
BA-01-04,1,T1,2012,06,0.00785,C 15-30,0.29,16.74,5.72,-0.18,-15.08,0,59.33,3778.98
BA-01-04,1,T2,2012,10,0.00785,C 15-30,0.11,1.66,1.93,0.41,3.31,3.72,NA,NA
BA-01-04,1,T3,2013,02,0.00785,C 15-30,0.52,4.97,3.05,-0.15,18.94,18.79,NA,NA
BA-01-04,1,T4,2013,05,0.00785,C 15-30,0.37,23.91,7.3,-0.33,-3.28,0,NA,NA
BA-01-04,1,T5,2013,07,0.00785,C 15-30,0.04,20.63,19.15,1.03,10.95,11.98,NA,NA
BA-01-04,1,T6,2013,10,0.00785,C 15-30,1.07,31.58,9.35,-1.05,-2.6,0,NA,NA
BA-01-04,1,T7,2014,02,0.00785,C 15-30,0.02,28.98,8.64,0.6,-21.16,0.6,NA,NA
BA-01-04,1,T8,2014,05,0.00785,C 15-30,0.62,7.82,3.44,-0.58,24.82,24.24,NA,NA
BA-01-04,1,T9,2014,07,0.00785,C 15-30,0.04,32.64,9.06,NA,NA,NA,NA,NA
BA-01-04,2,T1,2012,06,0.00785,C 15-30,0,23.77,9.95,4.85,-11.63,4.85,48.23,3071.97
BA-01-04,2,T2,2012,10,0.00785,C 15-30,4.85,12.14,7.85,-4.11,-8.45,0,NA,NA
BA-01-04,2,T3,2013,02,0.00785,C 15-30,0.74,3.69,7.88,-0.48,28.35,27.87,NA,NA
BA-01-04,2,T4,2013,05,0.00785,C 15-30,0.26,32.04,7.52,0.17,-22.27,0.17,NA,NA
BA-01-04,2,T5,2013,07,0.00785,C 15-30,0.43,9.77,5.68,-0.41,9.96,9.55,NA,NA
BA-01-04,2,T6,2013,10,0.00785,C 15-30,0.02,19.73,7.16,0.03,-2.39,0.03,NA,NA
BA-01-04,2,T7,2014,02,0.00785,C 15-30,0.05,17.34,7.17,0.1,5.66,5.76,NA,NA
BA-01-04,2,T8,2014,05,0.00785,C 15-30,0.15,23,10.74,-0.14,-18.42,0,NA,NA
BA-01-04,2,T9,2014,07,0.00785,C 15-30,0.01,4.58,14.88,NA,NA,NA,NA,NA
BA-01-04,3,T1,2012,06,0.00785,C 15-30,0.75,16.14,9.25,-0.57,-7.53,0,41.49,2642.68
BA-01-04,3,T2,2012,10,0.00785,C 15-30,0.18,8.61,13.74,1.18,-3.05,1.18,NA,NA
BA-01-04,3,T3,2013,02,0.00785,C 15-30,1.36,5.56,6.42,-1.34,26.17,24.83,NA,NA
BA-01-04,3,T4,2013,05,0.00785,C 15-30,0.02,31.73,10.59,1.62,-16.45,1.62,NA,NA
BA-01-04,3,T5,2013,07,0.00785,C 15-30,1.64,15.28,3.82,-1.62,-2.29,0,NA,NA
BA-01-04,3,T6,2013,10,0.00785,C 15-30,0.02,12.99,5.83,-0.02,13.87,13.85,NA,NA
BA-01-04,3,T7,2014,02,0.00785,C 15-30,0,26.86,8.52,0.01,-18.54,0.01,NA,NA
BA-01-04,3,T8,2014,05,0.00785,C 15-30,0.01,8.32,9.09,NA,NA,NA,NA,NA
BA-01-04,3,T9,2014,07,0.00785,C 15-30,NA,NA,NA,NA,NA,NA,NA,NA
BA-01-04,4,T1,2012,06,0.00785,C 15-30,0,30.98,4.52,2.97,-14.93,2.97,22.71,1446.50
BA-01-04,4,T2,2012,10,0.00785,C 15-30,2.97,16.05,7.95,-2.4,-7.6,0,NA,NA
BA-01-04,4,T3,2013,02,0.00785,C 15-30,0.57,8.45,7.03,-0.41,5.52,5.11,NA,NA
BA-01-04,4,T4,2013,05,0.00785,C 15-30,0.16,13.97,6.12,0.3,-2.49,0.3,NA,NA
BA-01-04,4,T5,2013,07,0.00785,C 15-30,0.46,11.48,5.58,-0.33,14.65,14.32,NA,NA
BA-01-04,4,T6,2013,10,0.00785,C 15-30,0.13,26.13,4.72,-0.07,-1.13,0,NA,NA
BA-01-04,4,T7,2014,02,0.00785,C 15-30,0.06,25,8.58,0.01,-4.74,0.01,NA,NA
BA-01-04,4,T8,2014,05,0.00785,C 15-30,0.07,20.26,4.81,0,-12.02,0,NA,NA
BA-01-04,4,T9,2014,07,0.00785,C 15-30,0.07,8.24,8.71,NA,NA,NA,NA,NA
BA-01-04,5,T1,2012,06,0.00785,C 15-30,0.33,23.56,5.17,8.58,-16.11,8.58,12.12,771.97
BA-01-04,5,T2,2012,10,0.00785,C 15-30,8.91,7.45,10.2,NA,NA,NA,NA,NA
BA-01-04,5,T3,2013,02,0.00785,C 15-30,NA,NA,NA,NA,NA,NA,NA,NA
BA-01-04,5,T4,2013,05,0.00785,C 15-30,1.25,25.47,5.94,NA,NA,NA,NA,NA
BA-01-04,5,T5,2013,07,0.00785,C 15-30,NA,NA,NA,NA,NA,NA,NA,NA
BA-01-04,5,T6,2013,10,0.00785,C 15-30,0.07,34.51,6.08,-0.03,-5.95,0,NA,NA
BA-01-04,5,T7,2014,02,0.00785,C 15-30,0.04,28.56,3.34,0.14,3.4,3.54,NA,NA
BA-01-04,5,T8,2014,05,0.00785,C 15-30,0.18,31.96,6.5,-0.12,-11.48,0,NA,NA
BA-01-04,5,T9,2014,07,0.00785,C 15-30,0.06,20.48,3.81,NA,NA,NA,NA,NA
CRMS0175,1,T1,2012,06,0.00785,A 0-7.5,5.27,3.67,2.4,-5.14,-2.43,0,27.07,1724.20
CRMS0175,1,T2,2012,10,0.00785,A 0-7.5,0.13,1.24,0.71,8.73,0.81,9.54,NA,NA
CRMS0175,1,T3,2013,02,0.00785,A 0-7.5,8.86,2.05,1.33,-0.64,1.82,1.18,NA,NA
CRMS0175,1,T4,2013,05,0.00785,A 0-7.5,8.22,3.87,1.09,1.47,13.34,14.81,NA,NA
CRMS0175,1,T5,2013,07,0.00785,A 0-7.5,9.69,17.21,2.22,-7.48,-7.6,0,NA,NA
CRMS0175,1,T6,2013,10,0.00785,A 0-7.5,2.21,9.61,2.13,-2.16,3.09,0.93,NA,NA
CRMS0175,1,T7,2014,02,0.00785,A 0-7.5,0.05,12.7,2.2,0.61,-1.32,0.61,NA,NA
CRMS0175,1,T8,2014,05,0.00785,A 0-7.5,0.66,11.38,2.22,-0.15,-2.42,0,NA,NA
CRMS0175,1,T9,2014,07,0.00785,A 0-7.5,0.51,8.96,1.61,NA,NA,NA,NA,NA
CRMS0175,2,T1,2012,06,0.00785,A 0-7.5,4.21,6.96,2.18,-3.81,-6.27,0,16.28,1036.94
CRMS0175,2,T2,2012,10,0.00785,A 0-7.5,0.4,0.69,0.79,6.18,2.88,9.06,NA,NA
CRMS0175,2,T3,2013,02,0.00785,A 0-7.5,6.58,3.57,2.16,-2.82,-0.98,0,NA,NA
CRMS0175,2,T4,2013,05,0.00785,A 0-7.5,3.76,2.59,1.14,1.49,1.85,3.34,NA,NA
CRMS0175,2,T5,2013,07,0.00785,A 0-7.5,5.25,4.44,2.59,-5.25,1.64,0,NA,NA
CRMS0175,2,T6,2013,10,0.00785,A 0-7.5,0,6.08,2.16,0,0.08,0.08,NA,NA
CRMS0175,2,T7,2014,02,0.00785,A 0-7.5,0,6.16,1.33,3.06,-4.78,3.06,NA,NA
CRMS0175,2,T8,2014,05,0.00785,A 0-7.5,3.06,1.38,2.06,-3.05,3.79,0.74,NA,NA
CRMS0175,2,T9,2014,07,0.00785,A 0-7.5,0.01,5.17,1.23,NA,NA,NA,NA,NA
CRMS0175,3,T1,2012,06,0.00785,A 0-7.5,3.71,6.85,2.47,3.04,-3.12,3.04,16.29,1037.58
CRMS0175,3,T2,2012,10,0.00785,A 0-7.5,6.75,3.73,2.74,5.93,-1.36,5.93,NA,NA
CRMS0175,3,T3,2013,02,0.00785,A 0-7.5,12.68,2.37,1.82,-11.77,2.39,0,NA,NA
CRMS0175,3,T4,2013,05,0.00785,A 0-7.5,0.91,4.76,1.21,4.19,1.16,5.35,NA,NA
CRMS0175,3,T5,2013,07,0.00785,A 0-7.5,5.1,5.92,3.2,-5.1,4.51,0,NA,NA
CRMS0175,3,T6,2013,10,0.00785,A 0-7.5,0,10.43,1.98,0,-3.64,0,NA,NA
CRMS0175,3,T7,2014,02,0.00785,A 0-7.5,0,6.79,2.09,0.76,-2.19,0.76,NA,NA
CRMS0175,3,T8,2014,05,0.00785,A 0-7.5,0.76,4.6,2.13,-0.74,1.95,1.21,NA,NA
CRMS0175,3,T9,2014,07,0.00785,A 0-7.5,0.02,6.55,0.73,NA,NA,NA,NA,NA
CRMS0175,4,T1,2012,06,0.00785,A 0-7.5,5.57,2.3,1.79,-4.61,-1.04,0,42.45,2703.82
CRMS0175,4,T2,2012,10,0.00785,A 0-7.5,0.96,1.26,0.55,8.52,19.27,27.79,NA,NA
CRMS0175,4,T3,2013,02,0.00785,A 0-7.5,9.48,20.53,9.99,-3.44,-17.75,0,NA,NA
CRMS0175,4,T4,2013,05,0.00785,A 0-7.5,6.04,2.78,1.7,-1.83,5.7,3.87,NA,NA
CRMS0175,4,T5,2013,07,0.00785,A 0-7.5,4.21,8.48,5.76,-4.21,1.08,0,NA,NA
CRMS0175,4,T6,2013,10,0.00785,A 0-7.5,0,9.56,2.77,0,-6.52,0,NA,NA
CRMS0175,4,T7,2014,02,0.00785,A 0-7.5,0,3.04,3.52,0.03,10.74,10.77,NA,NA
CRMS0175,4,T8,2014,05,0.00785,A 0-7.5,0.03,13.78,2.01,0.02,-4.92,0.02,NA,NA
CRMS0175,4,T9,2014,07,0.00785,A 0-7.5,0.05,8.86,0.84,NA,NA,NA,NA,NA
CRMS0175,5,T1,2012,06,0.00785,A 0-7.5,6.35,8.33,2.44,-5.9,-5.21,0,13.67,870.70
CRMS0175,5,T2,2012,10,0.00785,A 0-7.5,0.45,3.12,4.67,0.08,0.7,0.78,NA,NA
CRMS0175,5,T3,2013,02,0.00785,A 0-7.5,0.53,3.82,2.18,3.92,-1.79,3.92,NA,NA
CRMS0175,5,T4,2013,05,0.00785,A 0-7.5,4.45,2.03,1.26,0.02,5.26,5.28,NA,NA
CRMS0175,5,T5,2013,07,0.00785,A 0-7.5,4.47,7.29,5.65,-4.47,-2.99,0,NA,NA
CRMS0175,5,T6,2013,10,0.00785,A 0-7.5,0,4.3,1.94,0,3.67,3.67,NA,NA
CRMS0175,5,T7,2014,02,0.00785,A 0-7.5,0,7.97,1.1,0.02,-2.09,0.02,NA,NA
CRMS0175,5,T8,2014,05,0.00785,A 0-7.5,0.02,5.88,1.29,-0.02,-0.31,0,NA,NA
CRMS0175,5,T9,2014,07,0.00785,A 0-7.5,0,5.57,0.66,NA,NA,NA,NA,NA
CRMS0175,1,T1,2012,06,0.00785,B 7.5-15,1.58,8.73,2.6,-1.04,-7.88,0,38.74,2467.52
CRMS0175,1,T2,2012,10,0.00785,B 7.5-15,0.54,0.85,0.73,2.36,4.53,6.89,NA,NA
CRMS0175,1,T3,2013,02,0.00785,B 7.5-15,2.9,5.38,1.99,-1.46,-2.87,0,NA,NA
CRMS0175,1,T4,2013,05,0.00785,B 7.5-15,1.44,2.51,1.45,0.72,4.18,4.9,NA,NA
CRMS0175,1,T5,2013,07,0.00785,B 7.5-15,2.16,6.69,3.24,-2.16,7.31,5.15,NA,NA
CRMS0175,1,T6,2013,10,0.00785,B 7.5-15,0,14,3.42,0,-6,0,NA,NA
CRMS0175,1,T7,2014,02,0.00785,B 7.5-15,0,8,1.74,0.92,-0.48,0.92,NA,NA
CRMS0175,1,T8,2014,05,0.00785,B 7.5-15,0.92,7.52,4.22,-0.73,21.61,20.88,NA,NA
CRMS0175,1,T9,2014,07,0.00785,B 7.5-15,0.19,29.13,2.27,NA,NA,NA,NA,NA
CRMS0175,2,T1,2012,06,0.00785,B 7.5-15,0.84,13.94,0.78,-0.71,-13.52,0,19.67,1252.87
CRMS0175,2,T2,2012,10,0.00785,B 7.5-15,0.13,0.42,1.01,-0.13,8.03,7.9,NA,NA
CRMS0175,2,T3,2013,02,0.00785,B 7.5-15,0,8.45,2.45,0.74,-6.54,0.74,NA,NA
CRMS0175,2,T4,2013,05,0.00785,B 7.5-15,0.74,1.91,1.99,0.69,10.28,10.97,NA,NA
CRMS0175,2,T5,2013,07,0.00785,B 7.5-15,1.43,12.19,4.58,-1.43,-4.5,0,NA,NA
CRMS0175,2,T6,2013,10,0.00785,B 7.5-15,0,7.69,3.19,0,-5.32,0,NA,NA
CRMS0175,2,T7,2014,02,0.00785,B 7.5-15,0,2.37,3.19,0.06,-0.71,0.06,NA,NA
CRMS0175,2,T8,2014,05,0.00785,B 7.5-15,0.06,1.66,3.2,-0.06,-1.48,0,NA,NA
CRMS0175,2,T9,2014,07,0.00785,B 7.5-15,0,0.18,0.94,NA,NA,NA,NA,NA
CRMS0175,3,T1,2012,06,0.00785,B 7.5-15,0,10.58,3.28,2.54,-4.97,2.54,12.5,796.18
CRMS0175,3,T2,2012,10,0.00785,B 7.5-15,2.54,5.61,2.21,-1.22,3.37,2.15,NA,NA
CRMS0175,3,T3,2013,02,0.00785,B 7.5-15,1.32,8.98,2.1,0.12,-6.46,0.12,NA,NA
CRMS0175,3,T4,2013,05,0.00785,B 7.5-15,1.44,2.52,2.11,-0.34,5.92,5.58,NA,NA
CRMS0175,3,T5,2013,07,0.00785,B 7.5-15,1.1,8.44,3.5,-1.1,-1.3,0,NA,NA
CRMS0175,3,T6,2013,10,0.00785,B 7.5-15,0,7.14,3.18,0,0.73,0.73,NA,NA
CRMS0175,3,T7,2014,02,0.00785,B 7.5-15,0,7.87,2.28,0.39,-4.04,0.39,NA,NA
CRMS0175,3,T8,2014,05,0.00785,B 7.5-15,0.39,3.83,3.22,-0.38,1.37,0.99,NA,NA
CRMS0175,3,T9,2014,07,0.00785,B 7.5-15,0.01,5.2,1.13,NA,NA,NA,NA,NA
CRMS0175,4,T1,2012,06,0.00785,B 7.5-15,0,5.01,2.93,1.08,-4.39,1.08,19.91,1268.15
CRMS0175,4,T2,2012,10,0.00785,B 7.5-15,1.08,0.62,1.11,-0.29,4.51,4.22,NA,NA
CRMS0175,4,T3,2013,02,0.00785,B 7.5-15,0.79,5.13,1.95,0.05,-1.03,0.05,NA,NA
CRMS0175,4,T4,2013,05,0.00785,B 7.5-15,0.84,4.1,2.17,-0.38,0.71,0.33,NA,NA
CRMS0175,4,T5,2013,07,0.00785,B 7.5-15,0.46,4.81,6.64,-0.46,5.71,5.25,NA,NA
CRMS0175,4,T6,2013,10,0.00785,B 7.5-15,0,10.52,5.67,0,-7.84,0,NA,NA
CRMS0175,4,T7,2014,02,0.00785,B 7.5-15,0,2.68,1.75,0.22,6.16,6.38,NA,NA
CRMS0175,4,T8,2014,05,0.00785,B 7.5-15,0.22,8.84,3.57,-0.21,2.81,2.6,NA,NA
CRMS0175,4,T9,2014,07,0.00785,B 7.5-15,0.01,11.65,0.89,NA,NA,NA,NA,NA
CRMS0175,5,T1,2012,06,0.00785,B 7.5-15,1.83,8.64,6.9,3.53,-5.9,3.53,11.34,722.29
CRMS0175,5,T2,2012,10,0.00785,B 7.5-15,5.36,2.74,0.61,-5.36,2.77,0,NA,NA
CRMS0175,5,T3,2013,02,0.00785,B 7.5-15,0,5.51,3.78,0.99,-2.47,0.99,NA,NA
CRMS0175,5,T4,2013,05,0.00785,B 7.5-15,0.99,3.04,1.12,0.76,0.67,1.43,NA,NA
CRMS0175,5,T5,2013,07,0.00785,B 7.5-15,1.75,3.71,5.31,-1.75,3.81,2.06,NA,NA
CRMS0175,5,T6,2013,10,0.00785,B 7.5-15,0,7.52,3.06,0.03,-6.19,0.03,NA,NA
CRMS0175,5,T7,2014,02,0.00785,B 7.5-15,0.03,1.33,2.28,-0.03,3.33,3.3,NA,NA
CRMS0175,5,T8,2014,05,0.00785,B 7.5-15,0,4.66,4.14,0,-1.68,0,NA,NA
CRMS0175,5,T9,2014,07,0.00785,B 7.5-15,0,2.98,1.28,NA,NA,NA,NA,NA
CRMS0175,1,T1,2012,06,0.00785,C 15-30,0,6.27,7.12,0.73,-4.23,0.73,22.2,1414.01
CRMS0175,1,T2,2012,10,0.00785,C 15-30,0.73,2.04,5.93,-0.73,6.62,5.89,NA,NA
CRMS0175,1,T3,2013,02,0.00785,C 15-30,0,8.66,2.88,2.2,-3.1,2.2,NA,NA
CRMS0175,1,T4,2013,05,0.00785,C 15-30,2.2,5.56,8.82,-2.02,1.47,0,NA,NA
CRMS0175,1,T5,2013,07,0.00785,C 15-30,0.18,7.03,13.62,-0.18,3.02,2.84,NA,NA
CRMS0175,1,T6,2013,10,0.00785,C 15-30,0,10.05,5.14,0,7.7,7.7,NA,NA
CRMS0175,1,T7,2014,02,0.00785,C 15-30,0,17.75,3.34,0.46,-0.34,0.46,NA,NA
